date,average_daily_flow_m3ps
1969-02-11,17.225367
1969-02-12,15.8263806
1969-02-13,14.411634
1969-02-14,13.748748
1969-02-15,13.88507
1969-02-16,15.89851
1969-02-17,25.471126
1969-02-20,17.817008
1969-02-21,15.925718
1969-02-22,14.98853
1969-02-23,14.300194
1969-02-24,14.5708367
1969-02-25,13.978183
1969-02-26,14.591512
1969-02-27,14.9367025
1969-02-28,15.2747327
1969-03-01,59.174973
1969-03-02,42.180025
1969-03-03,25.310766
1969-03-04,20.075045
1969-03-05,19.481978
1969-03-08,17.55627
1969-03-09,15.946244
1969-03-10,13.96376687
1969-03-11,12.8788345
1969-03-12,12.3636242
1969-03-13,12.1604191
1969-03-14,11.6379313
1969-03-15,10.812168
1969-03-16,10.545848
1969-03-17,11.145098
1969-03-18,11.198082
1969-03-19,11.1223887
1969-03-20,11.49049
1969-03-21,12.778352
1969-03-22,14.320728
1969-03-23,13.0085552
1969-03-24,12.449125
1969-03-25,11.61671
1969-03-26,9.5663653
1969-03-27,9.69556
1969-03-28,9.316783
1969-03-29,9.040158
1969-03-30,9.27114
1969-03-31,9.0619645
1969-04-01,9.7437483
1969-04-02,9.67624
1969-04-03,12.7034566
1969-04-04,15.126712
1969-04-05,15.24804
1969-04-06,12.294862
1969-04-07,11.321052
1969-04-08,79.9434
1969-04-09,77.351595
1969-04-10,31.342515
1969-04-11,22.01669
1969-04-12,28.462678
1969-04-13,117.436676415
1969-04-14,57.79691
1969-04-15,42.284782
1969-04-16,43.78319
1969-04-17,32.293107
1969-04-18,27.336605
1969-04-19,31.719124
1969-04-20,29.859596
1969-04-21,27.63629
1969-04-22,26.7107821
1969-04-23,95.5917
1969-04-24,109.627854
1969-04-25,52.031685
1969-04-26,39.52827
1969-04-27,33.045016
1969-04-28,30.616999
1969-04-29,29.6573415
1969-04-30,25.99628
1969-05-01,25.192342
1969-05-02,23.596913
1969-05-03,23.789333
1969-05-04,30.994229
1969-05-05,25.175728
1969-05-06,23.243368
1969-05-07,29.97627
1969-05-08,39.248404
1969-05-09,28.892814
1969-05-10,25.284123
1969-05-11,23.868865
1969-05-12,22.42849
1969-05-13,22.150188
1969-05-14,21.159116
1969-05-15,19.85846
1969-05-16,19.747648
1969-05-17,19.591023
1969-05-18,36.971701
1969-05-19,34.64316
1969-05-20,29.334045
1969-05-21,128.01638
1969-05-22,88.67272
1969-05-23,63.76712
1969-05-24,77.14681
1969-05-25,56.901423
1969-05-26,47.47747
1969-05-27,39.136111
1969-05-28,33.64282
1969-05-29,30.506049
1969-05-30,27.901138
1969-05-31,25.703648
1969-06-01,24.652613
1969-06-02,24.234816
1969-06-03,22.471588
1969-06-04,20.761854
1969-06-05,20.261046
1969-06-06,20.51775
1969-06-07,20.868275
1969-06-08,20.190185
1969-06-09,20.928207
1969-06-10,19.890698
1969-06-11,17.282525
1969-06-12,16.814874
1969-06-13,16.722873
1969-06-14,16.681125
1969-06-15,21.22092
1969-06-16,90.79628
1969-06-17,65.385645
1969-06-18,45.47279
1969-06-19,46.16586
1969-06-20,71.96565
1969-06-21,50.96925
1969-06-22,43.08817
1969-06-23,37.69698
1969-06-24,34.17842
1969-06-25,32.825777
1969-06-26,32.398184
1969-06-27,49.868215
1969-06-28,41.518493
1969-06-29,35.17334
1969-06-30,55.7787
1969-07-01,62.9811873
1969-07-02,45.271775
1969-07-03,37.297847
1969-07-04,32.923783
1969-07-05,30.333264
1969-07-06,60.6921527
1969-07-07,102.213505
1969-07-08,54.638657
1969-07-09,44.379465
1969-07-10,39.45374
1969-07-11,37.85007
1969-07-13,35.376176
1969-07-14,34.21208
1969-07-15,30.325155
1969-07-16,27.300553
1969-07-17,26.959525
1969-07-18,27.053959
1969-07-19,27.621882
1969-07-20,26.081445
1969-07-21,25.836274
1969-07-22,24.07335
1969-07-23,21.806473
1969-07-24,24.231576
1969-07-25,88.575384
1969-07-26,66.03076
1969-07-27,41.021827
1969-07-28,35.05154
1969-07-29,32.410037
1969-07-30,31.8775326
1969-07-31,29.637302
1969-08-01,28.614843
1969-08-02,59.08947
1969-08-03,44.765584
1969-08-04,34.951798
1969-08-05,32.397833
1969-08-06,55.187417
1969-08-07,45.19871
1969-08-08,37.08169
1969-08-09,47.49775
1969-08-10,82.37488
1969-08-11,52.927882
1969-08-12,45.42141
1969-08-13,39.433006
1969-08-14,40.492718000000004
1969-08-15,45.03119
1969-08-16,45.85389
1969-08-17,41.00738
1969-08-18,37.012258
1969-08-19,33.302385
1969-08-20,32.37567
1969-08-21,30.124579
1969-08-22,28.134248
1969-08-23,27.19741
1969-08-24,26.175403
1969-08-25,27.187102
1969-08-26,25.84863
1969-08-27,24.735458
1969-08-28,25.44768
1969-08-29,24.636336
1969-08-30,23.244322
1969-08-31,23.611234
1969-09-01,23.842158
1969-09-02,23.366134
1969-09-03,21.14284
1969-09-04,21.931253
1969-09-05,27.91263
1969-09-06,34.84495
1969-09-07,66.86624
1969-09-08,153.67355
1969-09-09,132.5891
1969-09-10,268.44207
1969-09-11,612.4811
1969-09-12,254.77422
1969-09-13,433.25116
1969-09-14,334.7564
1969-09-15,239.74952
1969-09-16,504.90985
1969-09-17,336.764875
1969-09-18,232.30652
1969-09-19,148.06986
1969-09-20,107.88376
1969-09-21,106.9157626
1969-09-22,87.54696
1969-09-23,70.79632
1969-09-24,61.60733714
1969-09-25,189.31082
1969-09-26,202.481109
1969-09-27,130.23727
1969-09-28,89.761351
1969-09-29,73.70108
1969-09-30,62.42189
1969-10-01,56.704162
1969-10-02,51.486398
1969-10-03,48.25005
1969-10-04,40.708
1969-10-05,35.93316
1969-10-06,35.22116
1969-10-07,43.80839
1969-10-08,44.64607
1969-10-09,43.9902
1969-10-10,42.1964336
1969-10-11,36.919956
1969-10-12,33.200312
1969-10-13,28.48834
1969-10-14,26.96023
1969-10-15,26.213864
1969-10-16,24.048756
1969-10-17,34.442145
1969-10-18,53.13313
1969-10-19,36.173533
1969-10-20,28.783759
1969-10-21,26.50846
1969-10-22,74.612925
1969-10-23,49.802745
1969-10-24,58.126052
1969-10-25,46.049786
1969-10-26,32.928016
1969-10-27,53.3443241
1969-10-28,42.005265
1969-10-29,31.410815
1969-10-30,26.877255
1969-10-31,25.207807
1969-11-01,23.971843
1969-11-02,22.118047
1969-11-03,21.430877
1969-11-04,20.39202
1969-11-05,18.9931849
1969-11-06,17.27126
1969-11-07,15.763038
1969-11-08,13.901454
1969-11-09,14.4937173
1969-11-10,14.823042
1969-11-11,16.61678
1969-11-12,28.21111
1969-11-13,20.167291
1969-11-14,16.59286
1969-11-15,15.4741723
1969-11-16,14.2213545
1969-11-17,13.737342
1969-11-18,13.8934269
1969-11-19,13.7216495
1969-11-20,13.3678913
1969-11-21,12.8183513
1969-11-22,13.1070125
1969-11-23,14.47573625
1969-11-24,13.775608
1969-11-25,12.610121
1969-11-26,17.24167
1969-11-27,22.551825
1969-11-28,22.345903
1969-11-29,18.602603
1969-11-30,15.056462
1969-12-01,50.180946
1969-12-02,66.73563
1969-12-03,30.952093
1969-12-04,38.685125
1969-12-05,50.09719
1969-12-06,27.591013806
1969-12-07,21.044766
1969-12-08,19.168155
1969-12-09,21.941447
1969-12-10,20.3328185
1969-12-11,20.647991
1969-12-12,21.136322
1969-12-13,22.199453
1969-12-14,20.846633
1969-12-15,17.789145
1969-12-16,17.788004
1969-12-17,236.511808
1969-12-18,375.04355
1969-12-19,209.335309
1969-12-20,179.00161
1969-12-21,94.8148
1969-12-22,64.217767
1969-12-23,49.747344
1969-12-24,41.54209
1969-12-25,69.948724
1969-12-26,200.09693
1969-12-27,91.992687
1969-12-28,54.32554
1969-12-29,42.058568
1969-12-30,35.476993
1969-12-31,30.922018
1970-01-01,26.967894
1970-01-02,23.489478
1970-01-03,21.208766
1970-01-04,20.719774
1970-01-05,19.418352
1970-01-06,20.019385
1970-01-07,33.71091
1970-01-08,30.407184
1970-01-09,22.914674
1970-01-10,21.881722
1970-01-11,21.291074
1970-01-12,18.93628
1970-01-13,18.403577
1970-01-14,65.603618
1970-01-15,37.025683
1970-01-16,23.242573
1970-01-17,19.82923
1970-01-18,17.734256
1970-01-19,23.624098
1970-01-20,21.130457
1970-01-21,16.276894
1970-01-22,15.057647
1970-01-23,15.289526
