date,average_daily_flow_m3ps
2001-03-16,8.7371200000000009
2001-03-17,8.428268
2001-03-18,8.340254
2001-03-19,8.2871891
2001-03-20,8.187703
2001-03-21,8.0923605
2001-03-22,8.016271
2001-03-23,7.98666044
2001-03-24,7.963479
2001-03-25,7.9034486
2001-03-26,7.911356462
2001-03-27,8.534126
2001-03-28,12.9223504
2001-03-29,54.72087
2001-03-30,32.35749
2001-03-31,19.292262
2001-04-01,14.492640691
2001-04-02,13.393262
2001-04-03,56.469524
2001-04-04,33.22185
2001-04-05,21.910186
2001-04-06,20.989832
2001-04-07,17.5013
2001-04-08,14.721888
2001-04-09,13.1391525
2001-04-10,12.174964
2001-04-11,18.228714
2001-04-12,14.73139327
2001-04-13,13.82249
2001-04-14,12.8097808
2001-04-15,11.589455
2001-04-16,11.030227
2001-04-17,10.593514
2001-04-18,10.261943
2001-04-19,9.9640042
2001-04-20,9.8074254
2001-04-21,9.819572
2001-04-22,10.0184686
2001-04-23,10.634222
2001-04-24,10.1629302
2001-04-25,9.6819849
2001-04-26,9.4213489
2001-04-27,9.2750312
2001-04-28,9.177167
2001-04-29,9.074772
2001-04-30,8.9881268
2001-05-01,8.9041787
2001-05-02,8.8408579
2001-05-03,8.7485463
2001-05-04,8.7544173
2001-05-05,9.8205362
2001-05-06,206.41947
2001-05-07,134.298371
2001-05-08,59.30847
2001-05-09,35.482055
2001-05-10,27.213105
2001-05-11,105.618245
2001-05-12,565.2903
2001-05-13,156.36008
2001-05-14,85.84632
2001-05-15,59.569895
2001-05-16,46.75305
2001-05-17,38.873399
2001-05-18,35.05105
2001-05-19,58.00448
2001-05-20,65.86734
2001-05-21,163.6101
2001-05-22,128.35935
2001-05-23,84.94306
2001-05-24,95.016942
2001-05-25,342.1637
2001-05-26,150.283245
2001-05-27,99.264791
2001-05-28,74.76796
2001-05-29,60.314692
2001-05-30,51.631426
2001-05-31,45.459486
2001-06-01,40.68857
2001-06-02,37.275666
2001-06-03,34.378193
2001-06-04,32.12633
2001-06-05,30.421357
2001-06-06,28.891946
2001-06-07,27.725798
2001-06-08,28.063283
2001-06-09,32.26253
2001-06-10,172.62764
2001-06-11,76.995294
2001-06-12,48.2274766
2001-06-13,39.689754
2001-06-14,35.529265
2001-06-15,34.14753
2001-06-16,306.9141
2001-06-17,299.7867
2001-06-18,148.63246
2001-06-19,100.74648
2001-06-20,77.671844
2001-06-21,64.13199
2001-06-22,56.00055
2001-06-23,60.508313
2001-06-24,58.676704
2001-06-25,61.708103
2001-06-26,49.759096
2001-06-27,44.324658
2001-06-28,48.843167
2001-06-29,48.453749
2001-06-30,42.629339
2001-07-01,38.73856
2001-07-02,35.90407
2001-07-03,33.65546
2001-07-04,31.771228
2001-07-05,30.140154
2001-07-06,28.974055
2001-07-07,27.971883
2001-07-08,26.992503
2001-07-09,25.941132
2001-07-10,24.95833
2001-07-11,24.1396789
2001-07-12,23.525395
2001-07-13,22.844993
2001-07-14,22.449458
2001-07-15,22.683233
2001-07-16,22.293235
2001-07-17,22.3557926
2001-07-18,22.147348
2001-07-19,23.521415
2001-07-20,24.55942
2001-07-21,22.001092
2001-07-22,20.6274086
2001-07-23,19.687609
2001-07-24,19.119643
2001-07-25,18.570105
2001-07-26,18.138414
2001-07-27,17.76075
