date,rainfall_mm
2018-05-25,0
2018-05-26,0
2018-05-27,0
2018-05-28,0
2018-05-29,0
2018-05-30,0
2018-05-31,0
2018-06-01,0
2018-06-02,0
2018-06-03,0
2018-06-04,0
2018-06-05,0
2018-06-06,0
2018-06-07,0
2018-06-08,0
2018-06-09,0
2018-06-10,0
2018-06-11,0
2018-06-12,0.508
2018-06-13,2.032
2018-06-14,0
2018-06-15,0
2018-06-16,2.54
2018-06-17,1.016
2018-06-18,41.267654
2018-06-19,0.3883456
2018-06-20,0
2018-06-21,0
2018-06-22,0
2018-06-23,0
2018-06-24,2.032
2018-06-25,1.524
2018-06-26,0.508
2018-06-27,0
2018-06-28,0
2018-06-29,0
2018-06-30,0
2018-07-01,16.764
2018-07-02,0.508
2018-07-03,0
2018-07-04,0
2018-07-05,0
2018-07-06,0
2018-07-07,2.54
2018-07-08,51.816
2018-07-09,6.604
2018-07-10,0
2018-07-11,0
2018-07-12,0
2018-07-13,0
2018-07-14,0.504
2018-07-15,21.6724
2018-07-16,12.0956
2018-07-17,0
2018-07-18,0
2018-07-19,0
2018-07-20,0
2018-07-21,16.632
2018-07-22,1.008
2018-07-23,3.94173134
2018-07-24,3.6182687
2018-07-25,0.504
2018-07-26,1.008
2018-07-27,0
2018-07-28,0
2018-07-29,1.527
2018-07-30,0
2018-07-31,2.036
2018-08-01,0
2018-08-02,14.761
2018-08-03,1.018
2018-08-04,0
2018-08-05,1.527
2018-08-06,1.527
2018-08-07,0.509
2018-08-08,13.234
2018-08-09,0
2018-08-10,0
2018-08-11,0
2018-08-12,0
2018-08-13,1.018
2018-08-14,22.396
2018-08-15,0
2018-08-16,0
2018-08-17,1.018
2018-08-18,0
2018-08-19,0
2018-08-20,57.008
2018-08-21,9.162
2018-08-22,0
2018-08-23,0
2018-08-24,0
2018-08-25,0
2018-08-26,0
2018-08-27,0
2018-08-28,0
2018-08-29,16.797
2018-08-30,0
2018-08-31,0
2018-09-01,0
2018-09-02,19.342
2018-09-03,6.108
2018-09-04,0
2018-09-05,0
2018-09-06,0
2018-09-07,0
2018-09-08,0
2018-09-09,0
2018-09-10,0
2018-09-11,0
2018-09-12,0
2018-09-13,0
2018-09-14,0
2018-09-15,0
2018-09-16,0
2018-09-17,7.635
2018-09-18,0
