name,Ref,easting,northing,elevation,description,latitude,longitude,ellipsoidal_height,easting_rms,northing_rms,elevation_rms,lateral_rms,antenna_height,antenna_height_units,solution_status,averaging_start,averaging_end,samples,pdop,base_easting,base_northing,base_elevation,base_longitude,base_latitude,base_ellipsoidal_height,baseline,cs_name,geometry
1,,1614282.412,5424906.131,5.359,NA,-41.32719479,173.1706702,22.032,0.011,0.011,0.01,0.015,1.934,m,FIX,2022-07-20 13:49:38.6 UTC+12:00,2022-07-20 13:49:39.8 UTC+12:00,7,1.2,NA,NA,NA,173.1706775,-41.32718708,23.544,1.134,Global CS,"c(1614282.41169151, 5424906.13070509)"
2,,1614282.63,5424906.331,5.36,NA,-41.32719298,173.1706728,22.033,0.01,0.011,0.01,0.015,1.934,m,FIX,2022-07-20 13:53:53.4 UTC+12:00,2022-07-20 13:53:55.0 UTC+12:00,9,1.2,NA,NA,NA,173.1706775,-41.32718708,23.544,0.87,Global CS,"c(1614282.62548175, 5424906.33122407)"
3,,1614391.332,5424832.315,5.812,NA,-41.32785776,173.1719735,22.484,0.012,0.011,0.011,0.016,1.934,m,FIX,2022-07-20 14:02:52.8 UTC+12:00,2022-07-20 14:02:57.8 UTC+12:00,26,1.2,NA,NA,NA,173.1706775,-41.32718708,23.544,131.615,Global CS,"c(1614391.33407609, 5424832.31514169)"
4,STIVCAM,1614397.645,5424859.289,5.226,camera,-41.32761467,173.1720483,21.897,0.011,0.012,0.013,0.016,1.934,m,FIX,2022-07-20 14:09:15.4 UTC+12:00,2022-07-20 14:09:20.4 UTC+12:00,25,1.4,NA,NA,NA,173.1706775,-41.32718708,23.544,124.204,Global CS,"c(1614397.64543886, 5424859.28958778)"
5,STIVCP1,1614398.174,5424856.272,5.187,cp1,-41.32764184,173.1720547,21.858,0.011,0.01,0.015,0.015,1.934,m,FIX,2022-07-20 14:11:22.2 UTC+12:00,2022-07-20 14:11:27.2 UTC+12:00,26,1.3,NA,NA,NA,173.1706775,-41.32718708,23.544,125.882,Global CS,"c(1614398.17084938, 5424856.27223239)"
6,STIVCP2,1614396.942,5424855.312,5.346,cp2,-41.32765051,173.17204,22.017,0.011,0.011,0.011,0.016,1.934,m,FIX,2022-07-20 14:11:45.4 UTC+12:00,2022-07-20 14:11:50.4 UTC+12:00,26,1.3,NA,NA,NA,173.1706775,-41.32718708,23.544,125.138,Global CS,"c(1614396.94046365, 5424855.31216064)"
7,STIVCP3,1614396.997,5424849.355,5.903,"cp3 - corner bridge pole, 3rd pole",-41.32770417,173.1720408,22.575,0.01,0.01,0.01,0.014,1.934,m,FIX,2022-07-20 14:12:59.2 UTC+12:00,2022-07-20 14:13:04.2 UTC+12:00,26,1.2,NA,NA,NA,173.1706775,-41.32718708,23.544,127.773,Global CS,"c(1614396.99727213, 5424849.35491203)"
8,STIVCP4,1614401.372,5424844.008,5.863,"cp4 - corner bridge pole, last pole, bridge deck level",-41.32775225,173.1720932,22.535,0.01,0.01,0.011,0.014,1.934,m,FIX,2022-07-20 14:13:52.8 UTC+12:00,2022-07-20 14:13:57.8 UTC+12:00,26,1.3,NA,NA,NA,173.1706775,-41.32718708,23.544,134.118,Global CS,"c(1614401.37254539, 5424844.00857018)"
9,STIVCP5,1614405.217,5424846.335,5.441,cp5,-41.32773122,173.1721391,22.112,0.011,0.011,0.01,0.016,1.934,m,FIX,2022-07-20 14:14:18.4 UTC+12:00,2022-07-20 14:14:23.4 UTC+12:00,26,1.3,NA,NA,NA,173.1706775,-41.32718708,23.544,136.477,Global CS,"c(1614405.21741747, 5424846.33561629)"
10,STIVCP6,1614407.054,5424848.221,5.067,cp6,-41.3277142,173.172161,21.738,0.01,0.011,0.01,0.015,1.934,m,FIX,2022-07-20 14:14:41.6 UTC+12:00,2022-07-20 14:14:46.6 UTC+12:00,26,1.2,NA,NA,NA,173.1706775,-41.32718708,23.544,137.306,Global CS,"c(1614407.05551165, 5424848.22146714)"
11,BCCS,1614397.328,5424855.662,5.238,cs1,-41.32764735,173.1720446,21.909,0.011,0.011,0.01,0.015,1.934,m,FIX,2022-07-20 14:16:07.0 UTC+12:00,2022-07-20 14:16:12.0 UTC+12:00,26,1.3,NA,NA,NA,173.1706775,-41.32718708,23.544,125.348,Global CS,"c(1614397.32945175, 5424855.66220091)"
12,BCCS,1614398.263,5424854.804,4.662,cs2 - water level,-41.32765506,173.1720558,21.333,0.01,0.013,0.012,0.016,1.934,m,FIX,2022-07-20 14:17:16.2 UTC+12:00,2022-07-20 14:17:21.2 UTC+12:00,26,1.2,NA,NA,NA,173.1706775,-41.32718708,23.544,126.549,Global CS,"c(1614398.26082796, 5424854.80441815)"
13,BCCS,1614399.056,5424853.606,4.117,cs3,-41.32766584,173.1720653,20.788,0.011,0.012,0.01,0.016,1.934,m,FIX,2022-07-20 14:17:39.8 UTC+12:00,2022-07-20 14:17:44.8 UTC+12:00,26,1.2,NA,NA,NA,173.1706775,-41.32718708,23.544,127.779,Global CS,"c(1614399.05428678, 5424853.60608867)"
14,BCCS,1614399.991,5424852.276,4.007,cs4,-41.3276778,173.1720765,20.678,0.012,0.011,0.01,0.016,1.934,m,FIX,2022-07-20 14:18:02.8 UTC+12:00,2022-07-20 14:18:07.8 UTC+12:00,26,1.2,NA,NA,NA,173.1706775,-41.32718708,23.544,129.174,Global CS,"c(1614399.98807412, 5424852.27648153)"
15,BCCS,1614400.165,5424851.728,3.834,cs5,-41.32768274,173.1720786,20.505,0.011,0.011,0.011,0.016,1.934,m,FIX,2022-07-20 14:18:18.0 UTC+12:00,2022-07-20 14:18:23.0 UTC+12:00,26,1.3,NA,NA,NA,173.1706775,-41.32718708,23.544,129.582,Global CS,"c(1614400.16774321, 5424851.72770455)"
16,BCCS,1614400.533,5424851.479,3.35,cs6,-41.32768497,173.172083,20.021,0.012,0.011,0.011,0.017,1.934,m,FIX,2022-07-20 14:18:31.8 UTC+12:00,2022-07-20 14:18:36.8 UTC+12:00,26,1.3,NA,NA,NA,173.1706775,-41.32718708,23.544,130.019,Global CS,"c(1614400.53378673, 5424851.47941216)"
17,BCCS,1614401.243,5424850.882,3.151,cs7,-41.32769034,173.1720915,19.822,0.011,0.014,0.011,0.017,1.934,m,FIX,2022-07-20 14:19:27.4 UTC+12:00,2022-07-20 14:19:32.4 UTC+12:00,26,1.3,NA,NA,NA,173.1706775,-41.32718708,23.544,130.924,Global CS,"c(1614401.24391555, 5424850.88184603)"
18,BCCS,1614401.936,5424849.961,3.143,c8,-41.32769862,173.1720998,19.814,0.014,0.013,0.014,0.019,1.934,m,FIX,2022-07-20 14:19:46.6 UTC+12:00,2022-07-20 14:19:51.6 UTC+12:00,26,1.3,NA,NA,NA,173.1706775,-41.32718708,23.544,131.933,Global CS,"c(1614401.93415622, 5424849.96126176)"
19,BCCS,1614402.721,5424849.144,3.301,c9,-41.32770597,173.1721092,19.972,0.012,0.012,0.01,0.017,1.934,m,FIX,2022-07-20 14:20:02.0 UTC+12:00,2022-07-20 14:20:07.0 UTC+12:00,26,1.3,NA,NA,NA,173.1706775,-41.32718708,23.544,133.005,Global CS,"c(1614402.71832721, 5424849.14373629)"
20,BCCS,1614403.381,5424848.42,3.429,c10,-41.32771248,173.1721171,20.1,0.013,0.013,0.01,0.018,1.934,m,FIX,2022-07-20 14:20:17.2 UTC+12:00,2022-07-20 14:20:22.2 UTC+12:00,26,1.2,NA,NA,NA,173.1706775,-41.32718708,23.544,133.918,Global CS,"c(1614403.37799438, 5424848.41971143)"
