easting,northing,description,lat,lon,name,x_dash,y_dash,d_cs,elevation
1583178.265,5401302.893,Korere,-41.53975204,172.7983289,CSX1,1583178.704,5401304.124,0,265.026
1583174.797,5401303.831,Korere,-41.53974352,172.7982874,CSX2,1583175.33,5401305.326,3.581622807,263.735
1583169.142,5401306.164,Korere,-41.53972238,172.7982196,CSX3,1583169.575,5401307.378,9.69165826,260.587
1583157.14,5401313.288,Korere,-41.53965796,172.798076,CSX4,1583156.672,5401311.976,23.38881225,260.615
1583154.705,5401313.93,Korere,-41.53965212,172.7980468,CSX5,1583154.309,5401312.819,25.89801686,260.77
1583144.787,5401317.059,Korere,-41.53962373,172.797928,CSX6,1583144.519,5401316.308,36.29085374,260.909
1583142.031,5401317.878,Korere,-41.5396163,172.7978949,CSX7,1583141.815,5401317.272,39.16185183,261.259
1583139.881,5401318.702,Korere,-41.53960883,172.7978692,CSX8,1583139.647,5401318.045,41.46370423,262.047
1583136.982,5401319.566,Korere,-41.53960098,172.7978345,CSX9,1583136.801,5401319.059,44.48451014,262.445
1583128.031,5401322.875,Korere,-41.53957099,172.7977272,CSX10,1583127.813,5401322.263,54.02691038,262.047
1583112.692,5401328.27,Korere,-41.53952207,172.7975435,CSX11,1583112.497,5401327.722,70.28687074,262.154
1583108.366,5401330.1,Korere,-41.53950549,172.7974917,CSX12,1583108.08,5401329.296,74.97617116,261.495
1583103.615,5401331.052,Korere,-41.53949682,172.7974348,CSX13,1583103.563,5401330.906,79.7710219,261.921
1583096.622,5401332.505,Korere,-41.53948359,172.797351,CSX14,1583096.899,5401333.281,86.84594061,261.134
1583093.829,5401333.258,Korere,-41.53947674,172.7973175,CSX15,1583094.182,5401334.25,89.72963213,262.159
1583090.996,5401333.867,Korere,-41.5394712,172.7972836,CSX16,1583091.476,5401335.214,92.60265518,264.254
