easting,northing,elevation,description,lat,lon,name,x_dash,y_dash,d_cs
1586588.843,5408582.383,206.264,"Top of bridge, waters edge, true left.",-41.4742398,172.8393811,CS0,1586587.8618572308,5408583.968843007,0
1586587.881,5408584.091,201.167,NA,-41.47423173,172.8393679,CS1,1586587.9303570678,5408584.011223067,0.08054996642611499
1586582.145,5408580.731,202.428,NA,-41.4742619,172.8392991,CS2,1586582.2788295941,5408580.514688233,6.565164338988289
1586573.416,5408575.414,202.785,NA,-41.47430965,172.8391944,CS3,1586573.5872037192,5408575.137279599,16.785775082312902
1586567.221,5408571.789,202.453,NA,-41.4743422,172.8391202,CS4,1586567.4851674808,5408571.362020191,23.961249272489926
1586565.414,5408570.776,203.153,NA,-41.4743513,172.8390985,CS5,1586565.7251337178,5408570.273107612,26.030898868956893
1586556.118,5408564.73,203.169,NA,-41.4744056,172.838987,CS6,1586556.2972900313,5408564.440209512,37.11723896925958
1586549.427,5408561.342,203.23,NA,-41.474436,172.8389068,CS7,1586549.9425946614,5408560.5086328145,44.58981874939898
1586545.401,5408559.572,202.98,NA,-41.47445188,172.8388585,CS8,1586546.2391164731,5408558.217333594,48.94479323924909
1586544.087,5408558.377,203.173,NA,-41.47446262,172.8388428,CS9,1586544.754180674,5408557.298620951,50.69095109235215
1586541.354,5408553.882,203.039,NA,-41.47450307,172.83881,CS10,1586540.7665449488,5408554.831516742,55.380070610734705
1586538.455,5408551.623,203.054,NA,-41.47452336,172.8387752,CS11,1586537.6593033841,5408552.909102241,59.03392168262928
1586535.217,5408549.687,204.907,NA,-41.47454075,172.8387364,CS12,1586534.451421017,5408550.924422437,62.80611775420678
