easting,northing,description,lat,lon,name,x_dash,y_dash,d_cs,elevation
1584672.583,5418280.313,NA,-41.38685853,172.816675,CS1,1584672.561,5418280.422,0,146.76
1584668.243,5418279.986,NA,-41.38686139,172.8166231,CS2,1584668.327,5418279.57,4.319241089,144.588
1584662.963,5418278.92,NA,-41.38687089,172.8165599,CS3,1584663.046,5418278.508,9.705774545,143.692
1584659.842,5418278.08,water level,-41.3868784,172.8165226,CS4,1584659.884,5418277.872,12.93114409,142.203
1584646.611,5418273.257,"Water edge, from bridge deck",-41.38692159,172.8163642,CS5,1584646.235,5418275.126,26.85350518,148.652
1584639.451,5418271.723,"Water edge, from bridge deck, start of next channel",-41.38693527,172.8162785,CS6,1584639.057,5418273.682,34.17541448,148.663
1584621.933,5418268.1,"Water edge, from bridge deck, end of second channel",-41.38696757,172.8160689,CS7,1584621.52,5418270.153,52.06387763,148.664
1584604.054,5418267.372,Water edge,-41.38697379,172.815855,CS8,1584604.196,5418266.668,69.73524953,142.527
1584600.221,5418266.998,NA,-41.38697708,172.8158092,CS9,1584600.439,5418265.912,73.56672028,142.902
1584585.231,5418263.82,NA,-41.38700542,172.8156298,CS10,1584585.418,5418262.89,88.88907337,143.193
1584577.88,5418262.324,NA,-41.38701875,172.8155418,CS11,1584578.064,5418261.411,96.39073567,143.24
1584575.542,5418261.944,NA,-41.38702214,172.8155139,CS12,1584575.743,5418260.944,98.75775772,142.901
1584553.452,5418257.081,NA,-41.38706551,172.8152495,CS13,1584553.572,5418256.483,121.3729815,142.965
1584551.292,5418256.642,NA,-41.38706943,172.8152237,CS14,1584551.411,5418256.048,123.5771371,142.835
1584550.149,5418256.435,NA,-41.38707127,172.81521,CS15,1584550.273,5418255.819,124.7385119,142.453
1584536.941,5418253.539,NA,-41.3870971,172.815052,CS16,1584537.019,5418253.153,138.25825,142.546
1584533.627,5418252.919,NA,-41.38710262,172.8150123,CS17,1584533.714,5418252.488,141.6294362,142.922
1584531.176,5418252.371,NA,-41.38710752,172.814983,CS18,1584531.252,5418251.993,144.1403742,143.724
1584515.834,5418248.974,NA,-41.38713781,172.8147994,CS19,1584515.85,5418248.894,159.8510074,143.409
1584513.558,5418248.792,NA,-41.38713942,172.8147722,CS20,1584513.627,5418248.447,162.1181946,142.411
1584505.589,5418247.012,NA,-41.38715529,172.8146768,CS21,1584505.624,5418246.837,170.281732,143.099
1584496.964,5418245.25,NA,-41.38717099,172.8145736,CS22,1584496.994,5418245.1,179.0848327,142.034
1584492.351,5418244.326,NA,-41.38717923,172.8145184,CS23,1584492.382,5418244.172,183.7894611,143.193
1584484.812,5418242.76,NA,-41.38719319,172.8144282,CS24,1584484.833,5418242.654,191.4892369,143.045
1584479.224,5418241.274,NA,-41.38720646,172.8143613,CS25,1584479.175,5418241.515,197.2605593,143.641
1584476.06,5418240.909,NA,-41.38720969,172.8143235,CS26,1584476.064,5418240.889,200.4343968,146.234
1584473.931,5418239.627,NA,-41.38722121,172.814298,CS27,1584473.77,5418240.428,202.7744318,146.484
1584472.09,5418238.672,NA,-41.38722977,172.8142759,CS28,1584471.816,5418240.035,204.767628,147.283
1584471.756,5418238.661,Bridge abutment,-41.38722986,172.8142719,CS29,1584471.493,5418239.97,205.0972365,148.597
